,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR,bat inns,bat ave,dot%,bat sr,bowl inns,econ,wickets
2943,Subramaniam Badrinath,Indian,Batsman,3.0,1,Royal Challengers Bangalore,2015,,,,,,,
2944,Jalaj Saxena,Indian,All-Rounder,1.0,1,Royal Challengers Bangalore,2015,2.0,5.0,55.6,111.1,2.0,8.0,1.0
2945,Shishir Bhavane,Indian,Batsman,1.0,1,Royal Challengers Bangalore,2015,,,,,,,
2946,Trent Boult,Overseas,Bowler,38.0,1,Sunrisers Hyderabad,2015,1.0,1.0,75.0,25.0,7.0,7.33,6.0
2947,Praveen Kumar,Indian,Bowler,22.0,1,Sunrisers Hyderabad,2015,2.0,21.0,37.5,131.2,4.0,6.2,3.0
2948,Kevin Pietersen,Overseas,Batsman,20.0,1,Sunrisers Hyderabad,2015,27.0,25.7,39.8,117.3,,,
2949,Eoin Morgan,Overseas,Batsman,15.0,1,Sunrisers Hyderabad,2015,15.0,28.6,34.9,133.2,,,
2950,Ravi Bopara,Overseas,All-Rounder,10.0,1,Sunrisers Hyderabad,2015,16.0,45.3,28.9,140.7,16.0,7.71,11.0
2951,Kane Williamson,Overseas,All-Rounder,6.0,1,Sunrisers Hyderabad,2015,12.0,30.6,36.2,138.7,3.0,6.17,3.0
2952,Laxmi Ratan Shukla,Indian,All-Rounder,3.0,1,Sunrisers Hyderabad,2015,,,,,,,
2953,Prasanth Padmanabhan,Indian,All-Rounder,1.0,1,Sunrisers Hyderabad,2015,,,,,,,
2954,Hanuma Vihari,Indian,Batsman,1.0,1,Sunrisers Hyderabad,2015,,,,,,,
2955,Siddarth Kaul,Indian,Bowler,1.0,1,Sunrisers Hyderabad,2015,1.0,,0.0,100.0,5.0,9.69,2.0
2956,Hashim Amla,Overseas,Batsman,20.0,0,NONE,2015,8.0,41.6,38.4,127.1,2.0,15.0,0.0
2957,Cameron White,Overseas,Batsman,15.0,0,NONE,2015,9.0,27.1,36.7,130.7,,,
2958,Tillakaratne Dilshan,Overseas,All-Rounder,15.0,0,NONE,2015,11.0,21.4,42.7,127.0,9.0,6.73,5.0
2959,Marlon Samuels,Overseas,All-Rounder,15.0,0,NONE,2015,9.0,54.2,42.3,138.9,9.0,7.22,2.0
2960,Kumar Sangakkara,Overseas,Wicket Keeper,10.0,0,NONE,2015,,,,,,,
2961,Mahela Jayawardena,Overseas,Batsman,10.0,0,NONE,2015,,,,,,,
2962,Alex Hales,Overseas,Batsman,10.0,0,NONE,2015,21.0,22.6,41.6,131.3,,,
2963,Brad Hodge,Overseas,Batsman,10.0,0,NONE,2015,11.0,41.6,35.2,131.6,,,
2964,Cheteshwar Pujara,Indian,Batsman,10.0,0,NONE,2015,6.0,25.0,46.8,100.8,,,
2965,Ross Taylor,Overseas,Batsman,10.0,0,NONE,2015,13.0,29.8,40.1,109.6,,,
2966,Matthew Wade,Overseas,Wicket Keeper,10.0,0,NONE,2015,7.0,26.0,42.0,119.1,,,
2967,Ben Hilfenhaus,Overseas,Bowler,10.0,0,NONE,2015,7.0,7.7,46.9,71.9,23.0,8.01,26.0
2968,Michael Beer,Overseas,Bowler,10.0,0,NONE,2015,1.0,,50.0,50.0,6.0,6.52,2.0
2969,Nathan Lyon,Overseas,Bowler,10.0,0,NONE,2015,1.0,0.0,100.0,0.0,4.0,6.5,5.0
2970,Johan Botha,Overseas,All-Rounder,10.0,0,NONE,2015,4.0,3.2,61.5,100.0,6.0,7.43,5.0
2971,David Hussey,Overseas,All-Rounder,10.0,0,NONE,2015,21.0,23.0,37.6,115.7,3.0,8.04,4.0
2972,Robin Peterson,Overseas,All-Rounder,10.0,0,NONE,2015,14.0,19.0,40.3,122.6,20.0,7.77,12.0
2973,Sachithra Senanayaka,Overseas,All-Rounder,10.0,0,NONE,2015,,,,,,,
2974,Doug Bollinger,Overseas,Bowler,10.0,0,NONE,2015,3.0,1.2,58.3,41.7,26.0,8.04,31.0
2975,Michael Carberry,Overseas,Batsman,5.0,0,NONE,2015,17.0,29.6,44.5,127.5,,,
2976,Denesh Ramdin,Overseas,Wicket Keeper,5.0,0,NONE,2015,9.0,41.7,30.7,142.0,,,
2977,Munaf Patel,Indian,Bowler,5.0,0,NONE,2015,,,,,,,
2978,Cameron Boyce,Overseas,Bowler,5.0,0,NONE,2015,3.0,9.0,50.0,90.0,10.0,7.98,13.0
2979,Ajantha Mendis,Overseas,Bowler,5.0,0,NONE,2015,2.0,6.5,63.6,118.2,3.0,6.25,3.0
2980,Darren Bravo,Overseas,Batsman,5.0,0,NONE,2015,7.0,42.4,43.3,113.4,,,
2981,Richard Levi,Overseas,Batsman,5.0,0,NONE,2015,15.0,27.1,40.1,133.6,,,
2982,Lahiru Thirimanne,Overseas,Batsman,5.0,0,NONE,2015,,,,,,,
2983,Azhar Mahmood,Overseas,All-Rounder,5.0,0,NONE,2015,13.0,23.1,28.8,130.0,16.0,7.61,17.0
2984,Nathan McCullum,Overseas,All-Rounder,5.0,0,NONE,2015,,,,,,,
2985,Nathan McCullum,Overseas,All-Rounder,5.0,0,NONE,2015,,,,,,,
2986,Lakshmipathy Balaji,Indian,Bowler,5.0,0,NONE,2015,2.0,1.0,66.7,33.3,9.0,8.79,12.0
2987,Ravi Rampaul,Overseas,Bowler,5.0,0,NONE,2015,2.0,9.0,40.0,90.0,16.0,7.33,23.0
2988,Doug Bracewell,Overseas,All-Rounder,5.0,0,NONE,2015,,,,,,,
2989,Nathan Reardon,Overseas,All-Rounder,5.0,0,NONE,2015,7.0,25.2,35.3,134.7,1.0,17.0,0.0
2990,Nuwan Kulasekara,Overseas,Bowler,5.0,0,NONE,2015,,,,,,,
2991,Suranga Lakmal,Overseas,Bowler,5.0,0,NONE,2015,,,,,,,
2992,Dhammika Prasad,Overseas,Bowler,5.0,0,NONE,2015,,,,,,,
2993,Jeevan Mendis,Overseas,All-Rounder,5.0,0,NONE,2015,8.0,10.0,43.0,93.0,8.0,5.79,11.0
2994,Peter Siddle,Overseas,Bowler,5.0,0,NONE,2015,1.0,,50.0,100.0,3.0,7.91,3.0
2995,Shaun Tait,Overseas,Bowler,5.0,0,NONE,2015,2.0,1.0,50.0,50.0,7.0,8.62,11.0
2996,Ashton Agar,Overseas,All-Rounder,5.0,0,NONE,2015,7.0,7.7,45.0,115.0,6.0,7.5,3.0
2997,Justin Ontong,Overseas,All-Rounder,5.0,0,NONE,2015,1.0,10.0,25.0,125.0,3.0,9.0,0.0
2998,Gary Putland,Overseas,Bowler,3.0,0,NONE,2015,1.0,,66.7,33.3,1.0,13.0,0.0
2999,Jonathan Dean,Overseas,Batsman,3.0,0,NONE,2015,,,,,,,
3000,Nayan Doshi,Indian,Batsman,3.0,0,NONE,2015,,,,,,,
3001,Kusal Janith Perera,Overseas,Wicket Keeper,3.0,0,NONE,2015,,,,,,,
3002,Luke Ronchi,Overseas,Wicket Keeper,3.0,0,NONE,2015,,,,,,,
3003,Brendan Taylor,Overseas,Wicket Keeper,3.0,0,NONE,2015,,,,,,,
3004,Morne van Wyk,Overseas,Wicket Keeper,3.0,0,NONE,2015,4.0,22.8,45.6,133.8,,,
3005,Wayne Parnell,Overseas,All-Rounder,3.0,0,NONE,2015,1.0,2.0,50.0,100.0,8.0,7.39,6.0
3006,Pankaj Singh,Indian,Bowler,3.0,0,NONE,2015,,,,,,,
3007,Akila Dananjaya,Overseas,Bowler,3.0,0,NONE,2015,,,,,,,
3008,Dean Elgar,Overseas,Batsman,3.0,0,NONE,2015,,,,,,,
3009,Callum Ferguson,Overseas,Batsman,3.0,0,NONE,2015,4.0,38.0,30.0,126.7,,,
3010,Abhinav Mukund,Overseas,Batsman,3.0,0,NONE,2015,,,,,,,
3011,Venugopal Rao,Indian,Batsman,3.0,0,NONE,2015,5.0,23.7,36.5,112.7,2.0,8.0,0.0
3012,Hamish Rutherford,Overseas,Batsman,3.0,0,NONE,2015,,,,,,,
3013,Sheldon Cottrell,Overseas,Bowler,3.0,0,NONE,2015,7.0,6.9,44.4,133.3,9.0,5.91,10.0
3014,Ben Laughlin,Overseas,Bowler,3.0,0,NONE,2015,6.0,2.8,50.0,58.3,23.0,7.44,31.0
3015,Rudra Pratap Singh,Indian,Bowler,3.0,0,NONE,2015,,,,,,,
3016,Farhaan Behardien,Overseas,All-Rounder,3.0,0,NONE,2015,,,,,,,
3017,Jonathan Carter,Overseas,All-Rounder,3.0,0,NONE,2015,7.0,49.0,40.0,125.6,,,
3018,Anton Devcich,Overseas,All-Rounder,3.0,0,NONE,2015,7.0,29.4,41.7,122.6,2.0,11.33,0.0
3019,Grant Elliott,Overseas,All-Rounder,3.0,0,NONE,2015,,,,,,,
3020,Farveez Maharoof,Overseas,All-Rounder,3.0,0,NONE,2015,2.0,41.0,21.7,178.3,3.0,9.0,5.0
3021,Suraj Randiv,Overseas,All-Rounder,3.0,0,NONE,2015,,,,,,,
3022,Joel Paris,Overseas,Bowler,3.0,0,NONE,2015,1.0,,25.0,125.0,4.0,5.77,7.0
3023,Joginder Sharma,Indian,All-Rounder,3.0,0,NONE,2015,,,,,,,
3024,Hamish Bennett,Overseas,Bowler,3.0,0,NONE,2015,,,,,,,
3025,Dirk Nannes,Overseas,Bowler,3.0,0,NONE,2015,2.0,,25.0,100.0,21.0,7.97,30.0
3026,Krismar Santokie,Overseas,Bowler,3.0,0,NONE,2015,,,,,,,
3027,RP Singh,Indian,Bowler,3.0,0,NONE,2015,,,,,,,
3028,Thilan Thusara,Overseas,Bowler,3.0,0,NONE,2015,,,,,,,
3029,Lonwabo Tsotsobe,Overseas,Bowler,3.0,0,NONE,2015,,,,,,,
3030,Sudeep Tyagi,Indian,Bowler,3.0,0,NONE,2015,,,,,,,
3031,Christopher Barnwell,Overseas,All-Rounder,3.0,0,NONE,2015,9.0,28.3,33.3,145.3,,,
3032,Carlos Brathwaite,Overseas,All-Rounder,3.0,0,NONE,2015,7.0,20.2,28.1,142.1,9.0,7.78,9.0
3033,Elton Chigumbura,Overseas,All-Rounder,3.0,0,NONE,2015,2.0,21.0,40.0,105.0,,,
3034,Seekkuge Prasanna,Overseas,All-Rounder,3.0,0,NONE,2015,3.0,8.7,31.6,136.8,3.0,11.33,0.0
3035,Roelof van de Merwe,Overseas,All-Rounder,3.0,0,NONE,2015,4.0,7.0,54.5,84.8,5.0,8.56,1.0
3036,Vaughn Van Jaarsveld,Overseas,All-Rounder,3.0,0,NONE,2015,4.0,14.8,37.0,109.3,,,
3037,Ben Dunk,Overseas,Wicket Keeper,3.0,0,NONE,2015,28.0,25.3,37.9,122.2,,,
3038,Shreevats Goswami,Indian,Wicket Keeper,3.0,0,NONE,2015,,,,,,,
3039,Sushant Marathe,Indian,Wicket Keeper,3.0,0,NONE,2015,,,,,,,
3040,Kevon Cooper,Overseas,All-Rounder,3.0,0,NONE,2015,,,,,,,
3041,Kevin O'Brien,Overseas,All-Rounder,3.0,0,NONE,2015,16.0,26.1,39.0,129.9,11.0,7.9,13.0
3042,Michael Klinger,Overseas,Batsman,3.0,0,NONE,2015,17.0,32.0,37.6,117.4,,,
3043,Tim Ludeman,Overseas,Wicket Keeper,3.0,0,NONE,2015,8.0,39.3,39.4,147.5,,,
3044,Adam Zampa,Overseas,All-Rounder,3.0,0,NONE,2015,1.0,,75.0,125.0,4.0,6.6,3.0
3045,Nicholas Winter,Overseas,Bowler,2.0,0,NONE,2015,,,,,,,
3046,Marcus Harris,Overseas,Batsman,2.0,0,NONE,2015,3.0,38.3,33.3,136.9,,,
3047,Craig Simmons,Overseas,Batsman,2.0,0,NONE,2015,14.0,34.0,43.6,152.9,2.0,5.83,0.0
3048,Ronsford Beaton,Overseas,Bowler,2.0,0,NONE,2015,1.0,,0.0,266.7,11.0,9.21,7.0
3049,Dwaine Pretorius,Overseas,All-Rounder,2.0,0,NONE,2015,,,,,,,
3050,Debabrata Das,Indian,Batsman,2.0,0,NONE,2015,,,,,,,
3051,Amit Paunikar,Indian,Wicket Keeper,2.0,0,NONE,2015,,,,,,,
3052,Pradeep Sangwan,Indian,Bowler,2.0,0,NONE,2015,,,,,,,
3053,Krishnakant Upadhyay,Indian,Bowler,2.0,0,NONE,2015,,,,,,,
3054,Shadab Jakati,Indian,Bowler,2.0,0,NONE,2015,,,,,,,
3055,James Perison,Overseas,Wicket Keeper,2.0,0,NONE,2015,,,,,,,
3056,Rajagopal Sathish,Indian,All-Rounder,2.0,0,NONE,2015,,,,,,,
3057,Ashish Hooda,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3058,Pankaj Jaswal,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3059,Baltej Singh,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3060,Jaskaran Singh,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3061,Jaydev Gokul Bista,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3062,Sudip Chatterjee,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3063,Prashant Chopra,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3064,Mukul Dagar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3065,Nikhil Gangta,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3066,Hendrick Van der Dussen,Overseas,Batsman,1.0,0,NONE,2015,,,,,,,
3067,Jagrit Anand,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3068,Rohit Dahiya,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3069,Cameron Delport,Overseas,All-Rounder,1.0,0,NONE,2015,4.0,10.5,33.3,280.0,3.0,8.12,2.0
3070,Swarupam Purkaystha,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3071,Vijay Shankar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3072,Bipul Sharma,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3073,Kshitiz Sharma,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3074,Swapnil Singh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3075,Ishwar Chaudhary,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3076,Arup Das,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3077,Shahnawaz Hussain,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3078,Javed Khan,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3079,Sagar Mangalorkar,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3080,Babashafi Khan Pathan,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3081,Shelly Shaurya,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3082,Maninder Singh,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3083,Siddarth Trivedi,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3084,Arjit Gupta,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3085,Sagan Kamat,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3086,Bhargav Merai,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3087,K. Bharath Shankar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3088,Rinku Singh,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3089,Robin Singh Bist,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3090,Praful Waghela,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3091,Saurabh Pradeep Wawaskar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3092,Tanmay Agarwal,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3093,Amogh Sunil Desai,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3094,B Indrajith,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3095,David Keelan Mathias,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3096,Abhishek Raut,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3097,Rituraj Singh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3098,Varun Sood,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3099,Paul Valthaty,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3100,Amit Verma,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3101,Manjeet Kumar Chaudhary,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3102,Puneed Datey,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3103,Gauresh Gawas,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3104,Avesh Khan,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3105,M. Ravi Kiran,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3106,Mohammed Mudhasir,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3107,Saurabh Naresh Netravalkar,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3108,Anupam Amrut Sanklecha,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3109,Mehjoor Sofi,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3110,Kshemal Waingankar,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3111,Sandipan Das,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3112,Dheeraj Goswami,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3113,Vishal Kushwah,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3114,Anustup Majumdar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3115,Jamaluddin Syed Mohammad,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3116,Wilkin Mota,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3117,Krunal Pandya,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3118,Raiphi Vincent Gomez,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3119,Shreekant Wagh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3120,Vijaykumar Yo Mahesh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3121,Imtiyaz Ahmed,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3122,Palani Amarnath,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3123,Jagjot Gill,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3124,Poonam Poonia,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3125,Pratik Sinha,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3126,Cheepurupalli Stephen,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3127,Saurabh Bandekar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3128,Samiullah Beigh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3129,Kumar Deobrat,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3130,Rahul Dewan,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3131,Raghav Dhawan,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3132,Abhimanyu Khod,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3133,Chirag Khurana,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3134,Priyank Panchal,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3135,Rohan Prem,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3136,Samarth Singh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3137,Saly Vishwanadh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3138,Jaskarandeep Singh Buttar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3139,Shasikant Kadam,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3140,M. Shahruk Khan,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3141,Ankit Kushwah,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3142,Pradeep Sachan,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3143,Jatin Saxena,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3144,Shubham Sharma,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3145,Ankit Shastri,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3146,Rohan Shrivastava,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3147,Vinay Choudary,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3148,CHathuranga De Silva,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3149,Swapnil Gugale,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3150,Chirag Jani,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3151,Karan Kalia,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3152,Melu Kranthi Kumar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3153,Selvam Suresh Kumar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3154,Arib Nandi,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3155,Akash Parkar,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3156,Ankit Soni,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3157,Avinash Yadav,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3158,Sachin Rana,Indian,All-Rounder,1.0,0,NONE,2015,7.0,24.3,41.5,112.3,2.0,8.0,0.0
3159,Akshath Reddy,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3160,Rajesh Bishnoi,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3161,Paras Dogra,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3162,Mohnish Mishra,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3163,Yogesh Nagar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3164,Tirumalasetti Suman,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3165,Davy Jacobs,Overseas,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3166,K.B Arun Karthik,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3167,Smit Patel,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3168,Robbie Frylinck,Overseas,All-Rounder,1.0,0,NONE,2015,4.0,47.5,29.2,197.9,4.0,8.44,7.0
3169,Jesal Karia,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3170,Ashok Menaria,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3171,Shrikant Mundhe,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3172,Ram Dayal Punia,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3173,Amit Mishra,Indian,Bowler,1.0,0,NONE,2015,2.0,4.0,42.9,57.1,10.0,9.07,7.0
3174,HS Sharath,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3175,Rahul Shukla,Indian,Bowler,1.0,0,NONE,2015,3.0,18.0,42.9,85.7,3.0,10.89,2.0
3176,Aravind Sreenath,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3177,Basil Thamhy,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3178,Bhargav Bhatt,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3179,Mihir HIrwani,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3180,Sarabjit Ladda,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3181,Ali Murtaza,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3182,Rahil S Shah,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3183,Swapnil Asnodkar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3184,Sachin Baby,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3185,Udit Birla,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3186,Arindam Ghosh,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3187,Ishank Jaggi,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3188,Manprit Juneja,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3189,Abrar Anjum Kazi,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3190,Taruwar Kohli,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3191,Milind Kumar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3192,Avi Barot,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3193,Ian Coster,Overseas,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3194,Gitansh Khera,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3195,Abdul Ahad Malek,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3196,Dhwanil Patel,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3197,Mahesh Rawat,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3198,Jitesh Sharma,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3199,Umang Sharma,Indian,Wicket Keeper,1.0,0,NONE,2015,,,,,,,
3200,Rush Kalaria,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3201,Darshan Misal,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3202,Biplab Samantray,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3203,Manan Ajay Sharma,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3204,Harmeet Singh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3205,Harpreet Singh,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3206,Amit Yadav,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3207,Harmeet Singh Bansal,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3208,Deepak Chahar,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3209,Aniket Choudhary,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3210,Lukman Iqbal Meriwala,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3211,Umar Nazir,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3212,Prasanth Parameswaran,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3213,Anand Rajan,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3214,Ankit Singh Rajpoot,Overseas,Bowler,1.0,0,NONE,2015,,,,,,,
3215,Navdeep Saini,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3216,Vikas Tokas,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3217,Yuvraj Chudasama,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3218,Udit Patel,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3219,Samar Quadri,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3220,Lakshan Sandakan,Overseas,Bowler,1.0,0,NONE,2015,1.0,1.0,83.3,16.7,1.0,6.0,0.0
3221,Gurvinder Singh,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3222,Rajwinder Singh,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3223,Bharat Solanki,Indian,Bowler,1.0,0,NONE,2015,,,,,,,
3224,Ankeet Bawane,Indian,All-Rounder,1.0,0,NONE,2015,,,,,,,
3225,Akhil Arvind Herwadkar,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3226,Shubham Khajuria,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3227,Evin Lewis,Overseas,Batsman,1.0,0,NONE,2015,8.0,40.1,42.6,127.9,,,
3228,Prashant Naik,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3229,Sujit Nayak,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3230,R Samarth,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
3231,Virat Singh,Indian,Batsman,1.0,0,NONE,2015,,,,,,,
